"ID","Feature","Title","Type","Severity","Priority","Automation","Expected Result"
"TC001","Thêm thiết bị","Thiết bị được tạo thành công.","POSITIVE","MEDIUM","MEDIUM","","Hệ thống thực hiện thành công thao tác | Dữ liệu được cập nhật và hiển thị đúng"
"TC002","Thêm thiết bị","Dữ liệu được lưu chính xác.","POSITIVE","MEDIUM","MEDIUM","","Hệ thống thực hiện thành công thao tác | Dữ liệu được cập nhật và hiển thị đúng"
"TC003","Thêm thiết bị","Hệ thống hiển thị thông báo thành công.","POSITIVE","MEDIUM","MEDIUM","","Hệ thống thực hiện thành công thao tác | Dữ liệu được cập nhật và hiển thị đúng"
"TC004","Thêm thiết bị","Thiết bị mới xuất hiện trong danh sách thiết bị.","POSITIVE","MEDIUM","MEDIUM","","Hệ thống thực hiện thành công thao tác | Dữ liệu được cập nhật và hiển thị đúng"
"TC005","Sửa thiết bị","Thông tin thiết bị được cập nhật thành công.","POSITIVE","MEDIUM","MEDIUM","","Hệ thống thực hiện thành công thao tác | Dữ liệu được cập nhật và hiển thị đúng"
"TC006","Sửa thiết bị","Dữ liệu mới được lưu chính xác.","POSITIVE","MEDIUM","MEDIUM","","Hệ thống thực hiện thành công thao tác | Dữ liệu được cập nhật và hiển thị đúng"
"TC007","Sửa thiết bị","Hệ thống hiển thị thông báo cập nhật thành công.","POSITIVE","MEDIUM","MEDIUM","","Hệ thống thực hiện thành công thao tác | Dữ liệu được cập nhật và hiển thị đúng"
"TC008","Sửa thiết bị","Danh sách thiết bị hiển thị thông tin mới.","POSITIVE","MEDIUM","MEDIUM","","Hệ thống thực hiện thành công thao tác | Dữ liệu được cập nhật và hiển thị đúng"
"TC009","Xóa thiết bị","Thiết bị được xóa thành công.","POSITIVE","MEDIUM","MEDIUM","","Hệ thống thực hiện thành công thao tác | Dữ liệu được cập nhật và hiển thị đúng"
"TC010","Xóa thiết bị","Hệ thống hiển thị thông báo thành công.","POSITIVE","MEDIUM","MEDIUM","","Hệ thống thực hiện thành công thao tác | Dữ liệu được cập nhật và hiển thị đúng"
"TC011","Xóa thiết bị","Thiết bị không còn xuất hiện trong danh sách hoạt động.","POSITIVE","MEDIUM","MEDIUM","","Hệ thống thực hiện thành công thao tác | Dữ liệu được cập nhật và hiển thị đúng"
"TC012","Xóa thiết bị","Các dữ liệu không liên quan không bị ảnh hưởng.","POSITIVE","MEDIUM","MEDIUM","","Hệ thống thực hiện thành công thao tác | Dữ liệu được cập nhật và hiển thị đúng"
"TC013","Tìm kiếm thiết bị","Hệ thống hiển thị đúng các thiết bị phù hợp.","POSITIVE","MEDIUM","MEDIUM","","Hệ thống thực hiện thành công thao tác | Dữ liệu được cập nhật và hiển thị đúng"
"TC014","Tìm kiếm thiết bị","Không hiển thị thiết bị không thỏa mãn điều kiện.","POSITIVE","MEDIUM","MEDIUM","","Hệ thống thực hiện thành công thao tác | Dữ liệu được cập nhật và hiển thị đúng"
"TC015","Tìm kiếm thiết bị","Hiển thị thông báo phù hợp khi không có kết quả.","POSITIVE","MEDIUM","MEDIUM","","Hệ thống thực hiện thành công thao tác | Dữ liệu được cập nhật và hiển thị đúng"
"TC016","Tìm kiếm thiết bị","Kết quả tìm kiếm được phân trang đúng nếu có.","POSITIVE","MEDIUM","MEDIUM","","Hệ thống thực hiện thành công thao tác | Dữ liệu được cập nhật và hiển thị đúng"
"TC017","Tìm kiếm thiết bị","Dữ liệu hiển thị đúng và đầy đủ.","POSITIVE","MEDIUM","MEDIUM","","Hệ thống thực hiện thành công thao tác | Dữ liệu được cập nhật và hiển thị đúng"
"TC018","Chức năng chưa xác định","Dữ liệu chỉ được lưu khi tất cả trường bắt buộc hợp lệ.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC019","Sửa thiết bị","Mã thiết bị sau khi sửa không được trùng với thiết bị khác.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC020","Xóa thiết bị","Không được xóa thiết bị đang được sử dụng.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC021","Xóa thiết bị","Không được xóa thiết bị có dữ liệu liên quan nếu hệ thống không cho phép.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC022","Chức năng chưa xác định","Khi không nhập điều kiện, hệ thống có thể hiển thị toàn bộ dữ liệu hoặc yêu cầu nhập điều kiện.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC023","Chức năng chưa xác định","Mã thiết bị không được để trống","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
