"ID","Feature","Title","Type","Severity","Priority","Automation","Expected Result"
"TC001","Thêm thiết bị","TestCase đã chỉnh sửa khi review","POSITIVE","MEDIUM","MEDIUM","true","Kết quả đã duyệt"
"TC003","Thêm thiết bị","Kiểm tra quyền thực hiện Thêm thiết bị","PERMISSION","HIGH","HIGH","true","Kiểm tra Người dùng có quyền thêm thiết bị. | Kiểm tra Người dùng phải có quyền thêm thiết bị. | Kiểm tra quyền thêm dữ liệu | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC004","Thêm thiết bị","Kiểm tra ngoại lệ của Thêm thiết bị","EXCEPTION","HIGH","HIGH","true","Người dùng không có quyền thêm thiết bị. | Mã thiết bị đã tồn tại. | Trường bắt buộc bị bỏ trống. | Loại thiết bị không hợp lệ. | Dữ liệu vượt quá độ dài cho phép. | Hệ thống xảy ra lỗi trong quá trình lưu. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC005","Thêm thiết bị","Kiểm tra rủi ro của Thêm thiết bị","RISK","HIGH","HIGH","true","Người dùng phải có quyền thêm thiết bị. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC006","Ngừng sử dụng thiết bị","Ngừng sử dụng thiết bị","POSITIVE","MEDIUM","MEDIUM","true","Cho phép người dùng xóa một thiết bị khỏi hệ thống. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC007","Ngừng sử dụng thiết bị","Kiểm tra quy tắc nghiệp vụ của Ngừng sử dụng thiết bị","DATA_INTEGRITY","HIGH","HIGH","true","Chỉ ngừng sử dụng khi không còn dữ liệu đang xử lý | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC008","Ngừng sử dụng thiết bị","Kiểm tra dữ liệu không hợp lệ của Ngừng sử dụng thiết bị","NEGATIVE","HIGH","HIGH","true","Thiết bị cần xóa phải tồn tại. | Người dùng phải có quyền xóa thiết bị. | Không được xóa thiết bị đang được sử dụng. | Không được xóa thiết bị có dữ liệu liên quan nếu hệ thống không cho phép. | Hệ thống phải yêu cầu xác nhận trước khi xóa. | Việc xóa có thể là xóa mềm hoặc xóa vật lý tùy thiết kế hệ thống. | Thiết bị cần xóa không được để trống | Xác nhận xóa không được để trống | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC009","Ngừng sử dụng thiết bị","Kiểm tra quyền thực hiện Ngừng sử dụng thiết bị","PERMISSION","HIGH","HIGH","true","Kiểm tra Người dùng có quyền xóa thiết bị. | Kiểm tra Người dùng phải có quyền xóa thiết bị. | Kiểm tra quyền xóa dữ liệu | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC010","Ngừng sử dụng thiết bị","Kiểm tra ngoại lệ của Ngừng sử dụng thiết bị","EXCEPTION","HIGH","HIGH","true","Người dùng không có quyền xóa thiết bị. | Thiết bị không tồn tại. | Thiết bị đã bị người dùng khác xóa. | Thiết bị đang được sử dụng. | Thiết bị có dữ liệu liên quan. | Người dùng hủy xác nhận xóa. | Hệ thống xảy ra lỗi trong quá trình xóa. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC011","Ngừng sử dụng thiết bị","Kiểm tra rủi ro của Ngừng sử dụng thiết bị","RISK","HIGH","HIGH","true","Người dùng phải có quyền xóa thiết bị. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC012","Tìm kiếm thiết bị","Tìm kiếm thiết bị","POSITIVE","MEDIUM","MEDIUM","true","Cho phép người dùng tìm kiếm thiết bị theo một hoặc nhiều điều kiện. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC013","Tìm kiếm thiết bị","Kiểm tra quy tắc nghiệp vụ của Tìm kiếm thiết bị","DATA_INTEGRITY","HIGH","HIGH","true","Cho phép tìm kiếm bằng một hoặc nhiều điều kiện. | Các điều kiện tìm kiếm được kết hợp theo quy tắc của hệ thống. | Khi không nhập điều kiện, hệ thống có thể hiển thị toàn bộ dữ liệu hoặc yêu cầu nhập điều kiện. | Kết quả phải tuân thủ quyền xem dữ liệu của người dùng. | Kết quả có thể được phân trang khi số lượng dữ liệu lớn. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
