"ID","Feature","Title","Type","Severity","Priority","Automation","Expected Result"
"TC001","Thêm thiết bị","TestCase đã chỉnh sửa khi review","POSITIVE","MEDIUM","MEDIUM","true","Kết quả đã duyệt"
"TC003","Thêm thiết bị","Để trống Tên thiết bị khi thực hiện Thêm thiết bị","NEGATIVE","HIGH","HIGH","true","Hệ thống không thực hiện Thêm thiết bị và đánh dấu trường Tên thiết bị là không hợp lệ; dữ liệu không thay đổi."
"TC004","Thêm thiết bị","Để trống Loại thiết bị khi thực hiện Thêm thiết bị","NEGATIVE","HIGH","HIGH","true","Hệ thống không thực hiện Thêm thiết bị và đánh dấu trường Loại thiết bị là không hợp lệ; dữ liệu không thay đổi."
"TC005","Thêm thiết bị","Mã thiết bị phải là duy nhất.","NEGATIVE","HIGH","HIGH","true","Hệ thống không tạo bản ghi mới bằng giá trị Mã thiết bị đã tồn tại; dữ liệu hiện có không thay đổi."
"TC006","Thêm thiết bị","Loại thiết bị phải tồn tại trong danh mục loại thiết bị.","NEGATIVE","HIGH","HIGH","true","Hệ thống không cho phép lưu với Loại thiết bị không thuộc danh sách hợp lệ; dữ liệu không thay đổi."
"TC008","Thêm thiết bị","Dữ liệu chỉ được lưu khi tất cả trường bắt buộc hợp lệ.","NEGATIVE","HIGH","HIGH","true","Chưa có đủ dữ liệu để tạo trạng thái kiểm thử cụ thể cho rule: Dữ liệu chỉ được lưu khi tất cả trường bắt buộc hợp lệ."
"TC013","Thêm thiết bị","Người dùng không có quyền thêm thiết bị.","EXCEPTION","HIGH","HIGH","true","Hệ thống không cho phép thực hiện Thêm thiết bị; dữ liệu không thay đổi."
"TC015","Thêm thiết bị","Để trống Trường bắt buộc khi thực hiện Thêm thiết bị","EXCEPTION","HIGH","HIGH","true","Chưa xác định trường bắt buộc cụ thể; cần clarification trước khi tạo dữ liệu kiểm thử."
"TC017","Thêm thiết bị","Dữ liệu vượt quá độ dài cho phép.","EXCEPTION","HIGH","HIGH","true","Chưa thể tạo giá trị biên cụ thể khi giới hạn chưa được xác định; cần clarification."
"TC018","Thêm thiết bị","Hệ thống xảy ra lỗi trong quá trình lưu.","EXCEPTION","HIGH","HIGH","true","Hệ thống không tạo dữ liệu không hoàn chỉnh và thể hiện thao tác không thành công."
"TC020","Ngừng sử dụng thiết bị","Ngừng sử dụng thiết bị","POSITIVE","MEDIUM","MEDIUM","true","Cho phép người dùng xóa một thiết bị khỏi hệ thống. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC021","Ngừng sử dụng thiết bị","Chỉ ngừng sử dụng khi không còn dữ liệu đang xử lý","DATA_INTEGRITY","HIGH","HIGH","true","Hệ thống không thực hiện Ngừng sử dụng thiết bị khi bản ghi ở trạng thái bị chặn theo rule; dữ liệu không thay đổi."
"TC022","Ngừng sử dụng thiết bị","Để trống Thiết bị cần xóa khi thực hiện Ngừng sử dụng thiết bị","NEGATIVE","HIGH","HIGH","true","Hệ thống không thực hiện Ngừng sử dụng thiết bị và đánh dấu trường Thiết bị cần xóa là không hợp lệ; dữ liệu không thay đổi."
"TC023","Ngừng sử dụng thiết bị","Để trống Xác nhận xóa khi thực hiện Ngừng sử dụng thiết bị","NEGATIVE","HIGH","HIGH","true","Hệ thống không thực hiện Ngừng sử dụng thiết bị và đánh dấu trường Xác nhận xóa là không hợp lệ; dữ liệu không thay đổi."
