"ID","Feature","Title","Type","Severity","Priority","Automation","Expected Result"
"TC001","Thêm mới đơn vị tính","Thêm mới đơn vị tính","POSITIVE","MEDIUM","MEDIUM","true","Cho phép người dùng thêm mới một đơn vị tính vào danh mục. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC002","Thêm mới đơn vị tính","Kiểm tra quy tắc nghiệp vụ của Thêm mới đơn vị tính","DATA_INTEGRITY","HIGH","HIGH","true","Tên đơn vị tính là trường bắt buộc. | Mã đơn vị tính phải là duy nhất. | Người dùng được phép nhập mã thủ công. | Người dùng được phép sử dụng chức năng sinh mã. | Khi mã đơn vị tính được để trống, hệ thống xử lý tự sinh mã theo cấu hình. | Dữ liệu chỉ được lưu khi các trường bắt buộc hợp lệ. | Người dùng phải có quyền thêm mới đơn vị tính. | Mã đơn vị tính phải là duy nhất | Dữ liệu chỉ được lưu khi các trường bắt buộc hợp lệ | Mã được sinh phải là duy nhất | Mã được sinh phải tuân thủ định dạng của hệ thống | Chức năng sinh mã không làm mất dữ liệu tại các trường khác đã nhập trước đó | Chức năng sinh mã chỉ tạo giá trị, chưa thực hiện lưu dữ liệu | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC003","Thêm mới đơn vị tính","Kiểm tra dữ liệu không hợp lệ của Thêm mới đơn vị tính","NEGATIVE","HIGH","HIGH","true","Tên đơn vị tính là trường bắt buộc. | Mã đơn vị tính phải là duy nhất. | Người dùng được phép nhập mã thủ công. | Người dùng được phép sử dụng chức năng sinh mã. | Khi mã đơn vị tính được để trống, hệ thống xử lý tự sinh mã theo cấu hình. | Dữ liệu chỉ được lưu khi các trường bắt buộc hợp lệ. | Người dùng phải có quyền thêm mới đơn vị tính. | Tên đơn vị tính không được để trống | Tên đơn vị tính là trường bắt buộc | Mã đơn vị tính không được trùng lặp | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC004","Thêm mới đơn vị tính","Kiểm tra quyền thực hiện Thêm mới đơn vị tính","PERMISSION","HIGH","HIGH","true","Kiểm tra Người dùng có quyền truy cập danh mục đơn vị tính. | Kiểm tra Người dùng có quyền thêm mới đơn vị tính. | Kiểm tra Người dùng phải có quyền thêm mới đơn vị tính. | Kiểm tra quyền thêm dữ liệu | Người dùng đã đăng nhập vào hệ thống | Người dùng có quyền truy cập chức năng Danh mục | Người dùng có quyền xem danh mục đơn vị tính | Người dùng có quyền thêm mới đơn vị tính khi thực hiện chức năng thêm | Người dùng có quyền thêm mới đơn vị tính | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC005","Thêm mới đơn vị tính","Kiểm tra điều kiện biên của Thêm mới đơn vị tính","BOUNDARY","MEDIUM","MEDIUM","true","Độ dài ký tự của mã đơn vị tính | Độ dài ký tự của tên đơn vị tính | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC006","Thêm mới đơn vị tính","Kiểm tra ngoại lệ của Thêm mới đơn vị tính","EXCEPTION","HIGH","HIGH","true","Người dùng không có quyền thêm mới đơn vị tính. | Tên đơn vị tính bị bỏ trống. | Tên đơn vị tính chỉ chứa khoảng trắng. | Mã đơn vị tính đã tồn tại. | Mã đơn vị tính không đúng định dạng. | Chức năng sinh mã không tạo được mã. | Dữ liệu vượt quá độ dài cho phép. | Hệ thống xảy ra lỗi trong quá trình lưu. | Người dùng đóng biểu mẫu mà chưa lưu dữ liệu. | Người dùng không có quyền thêm mới | Tên đơn vị tính bị bỏ trống hoặc chỉ chứa khoảng trắng | Mã đơn vị tính đã tồn tại | Mã đơn vị tính không đúng định dạng | Dữ liệu vượt quá độ dài cho phép | Lỗi hệ thống khi lưu dữ liệu | Hệ thống không thể sinh mã | Mã được sinh bị trùng | Mã được sinh không đúng định dạng | Mất kết nối hệ thống trong quá trình sinh mã | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC007","Thêm mới đơn vị tính","Kiểm tra rủi ro của Thêm mới đơn vị tính","RISK","HIGH","HIGH","true","Người dùng phải có quyền thêm mới đơn vị tính. | Xung đột dữ liệu khi nhiều người dùng thêm mới cùng lúc | Mất kết nối gây gián đoạn quy trình | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC008","Sinh mã đơn vị tính","Sinh mã đơn vị tính","POSITIVE","MEDIUM","MEDIUM","true","Cho phép người dùng yêu cầu hệ thống tự sinh mã đơn vị tính khi thêm mới dữ liệu. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC009","Sinh mã đơn vị tính","Kiểm tra quy tắc nghiệp vụ của Sinh mã đơn vị tính","DATA_INTEGRITY","HIGH","HIGH","true","Mã được sinh phải là duy nhất. | Mã được sinh phải tuân thủ định dạng mã của hệ thống. | Chức năng sinh mã chỉ tạo giá trị, chưa thực hiện lưu dữ liệu. | Mã được sinh có thể được thay đổi thủ công nếu hệ thống cho phép. | Việc sinh mã không được làm mất dữ liệu tại các trường khác. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC010","Sinh mã đơn vị tính","Kiểm tra dữ liệu không hợp lệ của Sinh mã đơn vị tính","NEGATIVE","HIGH","HIGH","true","Mã được sinh phải là duy nhất. | Mã được sinh phải tuân thủ định dạng mã của hệ thống. | Chức năng sinh mã chỉ tạo giá trị, chưa thực hiện lưu dữ liệu. | Mã được sinh có thể được thay đổi thủ công nếu hệ thống cho phép. | Việc sinh mã không được làm mất dữ liệu tại các trường khác. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
